year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,12,MQ,Envoy Air,EVV,"Evansville, IN: Evansville Regional",61,9,1.52,1.08,0.56,0.0,5.84,0,0,732,47,90,19,0,576
2024,12,MQ,Envoy Air,EWR,"Newark, NJ: Newark Liberty International",107,42,6.01,5.89,25.16,0.0,4.94,0,0,2531,335,491,1251,0,454
2024,12,MQ,Envoy Air,EYW,"Key West, FL: Key West International",169,31,3.37,0.71,11.44,0.0,15.48,5,3,1596,143,52,468,0,933
2024,12,MQ,Envoy Air,FAR,"Fargo, ND: Hector International",171,35,4.64,2.12,15.32,0.0,12.92,2,0,2428,245,184,575,0,1424
2024,12,MQ,Envoy Air,FSD,"Sioux Falls, SD: Joe Foss Field",69,14,2.0,2.47,4.7,0.0,4.83,1,0,720,86,154,191,0,289
2024,12,MQ,Envoy Air,FSM,"Fort Smith, AR: Fort Smith Regional",91,11,1.4,0.94,1.95,0.0,6.71,1,0,703,80,70,127,0,426
2024,12,MQ,Envoy Air,FWA,"Fort Wayne, IN: Fort Wayne International",90,16,4.33,1.45,6.07,0.0,4.14,0,0,864,120,64,190,0,490
2024,12,MQ,Envoy Air,GCK,"Garden City, KS: Garden City Regional",61,10,3.95,1.17,0.38,0.0,4.51,1,1,982,202,67,43,0,670
2024,12,MQ,Envoy Air,GJT,"Grand Junction, CO: Grand Junction Regional",73,15,3.88,0.26,5.37,0.0,5.49,0,0,992,141,64,154,0,633
2024,12,MQ,Envoy Air,GNV,"Gainesville, FL: Gainesville Regional",47,8,1.44,0.0,2.91,0.0,3.65,0,0,419,106,0,126,0,187
2024,12,MQ,Envoy Air,GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",29,8,0.06,0.3,4.08,0.0,3.56,0,0,699,1,19,284,0,395
2024,12,MQ,Envoy Air,GRK,"Killeen, TX: Robert Gray AAF",130,32,7.42,4.28,4.87,0.0,15.43,3,1,1635,356,308,140,0,831
2024,12,MQ,Envoy Air,GRR,"Grand Rapids, MI: Gerald R. Ford International",82,23,4.94,1.96,6.27,0.0,9.83,0,1,1584,435,259,259,0,631
2024,12,MQ,Envoy Air,GSO,"Greensboro/High Point, NC: Piedmont Triad International",118,31,7.96,2.31,9.57,0.0,11.16,1,0,1433,378,92,327,0,636
2024,12,MQ,Envoy Air,GSP,"Greer, SC: Greenville-Spartanburg International",171,31,6.92,1.55,9.59,0.0,12.95,2,0,1380,360,72,365,0,583
2024,12,MQ,Envoy Air,HDN,"Hayden, CO: Yampa Valley",11,3,0.03,0.12,1.22,0.0,1.62,0,0,117,1,8,51,0,57
2024,12,MQ,Envoy Air,HHH,"Hilton Head, SC: Hilton Head Airport",77,17,5.24,1.88,3.24,0.0,6.64,0,1,915,221,186,97,0,411
2024,12,MQ,Envoy Air,HOU,"Houston, TX: William P Hobby",132,25,5.59,4.1,10.25,0.0,5.06,4,0,1479,236,361,430,0,452
2024,12,MQ,Envoy Air,HPN,"White Plains, NY: Westchester County",115,28,8.71,1.92,8.53,0.0,8.84,2,1,1511,365,286,331,0,529
2024,12,MQ,Envoy Air,HRL,"Harlingen/San Benito, TX: Valley International",123,14,2.13,2.67,3.63,0.0,5.57,2,0,1120,52,545,150,0,373
2024,12,MQ,Envoy Air,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",68,9,2.0,0.99,1.07,0.0,4.94,0,0,484,57,111,56,0,260
2024,12,MQ,Envoy Air,IAH,"Houston, TX: George Bush Intercontinental/Houston",138,14,2.44,0.25,6.47,0.0,4.84,5,1,1227,88,71,529,0,539
2024,12,MQ,Envoy Air,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",120,28,4.61,2.09,9.0,0.0,12.3,2,0,1289,225,90,263,0,711
2024,12,MQ,Envoy Air,ILM,"Wilmington, NC: Wilmington International",114,24,7.19,1.74,6.64,0.0,8.43,1,0,1479,283,227,276,0,693
2024,12,MQ,Envoy Air,IND,"Indianapolis, IN: Indianapolis International",137,35,9.15,1.48,6.21,0.0,18.16,0,0,1597,367,42,172,0,1016
2024,12,MQ,Envoy Air,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",51,5,0.38,0.7,2.88,0.0,1.04,3,0,315,18,60,186,0,51
2024,12,MQ,Envoy Air,JAX,"Jacksonville, FL: Jacksonville International",174,23,5.79,0.0,7.96,0.26,8.99,1,0,1088,271,0,243,13,561
2024,12,MQ,Envoy Air,LAX,"Los Angeles, CA: Los Angeles International",30,2,1.0,0.75,0.25,0.0,0.0,0,1,394,217,132,45,0,0
2024,12,MQ,Envoy Air,LBB,"Lubbock, TX: Lubbock Preston Smith International",108,16,0.33,3.0,3.1,0.0,9.57,0,0,1072,7,168,121,0,776
2024,12,MQ,Envoy Air,LEX,"Lexington, KY: Blue Grass",94,23,4.7,2.63,6.34,0.0,9.33,0,0,1399,184,247,321,0,647
2024,12,MQ,Envoy Air,LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",62,7,2.76,0.51,0.98,0.0,2.74,2,0,475,79,63,69,0,264
2024,12,MQ,Envoy Air,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",249,50,9.64,4.95,17.3,0.0,18.1,0,1,2883,365,536,611,0,1371
2024,12,MQ,Envoy Air,LRD,"Laredo, TX: Laredo International",152,29,7.75,2.78,6.73,0.0,11.74,2,0,1684,272,393,192,0,827
2024,12,MQ,Envoy Air,LSE,"La Crosse, WI: La Crosse Regional",8,1,0.0,0.0,0.0,0.0,1.0,0,0,24,0,0,0,0,24
2024,12,MQ,Envoy Air,MAF,"Midland/Odessa, TX: Midland International Air and Space Port",185,33,7.12,3.71,7.57,0.0,14.61,0,0,2584,276,608,282,0,1418
2024,12,MQ,Envoy Air,MCI,"Kansas City, MO: Kansas City International",77,19,6.41,1.17,3.77,0.0,7.65,0,0,834,224,79,134,0,397
2024,12,MQ,Envoy Air,MEM,"Memphis, TN: Memphis International",140,29,5.81,2.62,6.07,0.0,14.5,0,0,1917,329,250,265,0,1073
2024,12,MQ,Envoy Air,MFE,"Mission/McAllen/Edinburg, TX: McAllen International",80,10,1.31,1.09,2.84,0.0,4.76,1,0,530,53,30,161,0,286
2024,12,MQ,Envoy Air,MHK,"Manhattan/Ft. Riley, KS: Manhattan Regional",91,5,2.06,0.08,0.94,0.0,1.92,3,1,426,56,23,15,0,332
2024,12,MQ,Envoy Air,MIA,"Miami, FL: Miami International",1464,331,97.79,10.53,102.07,2.74,117.87,12,0,21485,6383,1458,3812,64,9768
2024,12,MQ,Envoy Air,MKE,"Milwaukee, WI: General Mitchell International",15,2,0.75,0.0,0.26,0.0,0.99,0,0,83,42,0,7,0,34
2024,12,MQ,Envoy Air,MLI,"Moline, IL: Quad Cities International",76,11,3.64,1.88,0.58,0.0,4.9,1,0,999,76,209,83,0,631
2024,12,MQ,Envoy Air,MLU,"Monroe, LA: Monroe Regional",75,13,4.51,2.58,0.99,0.0,4.93,3,0,635,168,186,69,0,212
2024,12,MQ,Envoy Air,MOB,"Mobile, AL: Mobile Regional",66,12,5.95,1.07,2.56,0.0,2.42,1,0,524,249,83,122,0,70
2024,12,MQ,Envoy Air,MQT,"Marquette, MI: Marquette Sawyer Regional",31,10,1.51,1.52,1.99,0.0,4.98,1,0,2377,111,1242,166,0,858
2024,12,MQ,Envoy Air,MRY,"Monterey, CA: Monterey Regional",55,7,3.04,0.0,1.11,0.0,2.85,0,1,403,146,0,42,0,215
2024,12,MQ,Envoy Air,MSN,"Madison, WI: Dane County Regional-Truax Field",40,10,3.93,0.17,2.12,0.0,3.78,0,0,560,225,4,106,0,225
2024,12,MQ,Envoy Air,MSO,"Missoula, MT: Missoula Montana",18,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2024,12,MQ,Envoy Air,MSP,"Minneapolis, MN: Minneapolis-St Paul International",47,8,2.15,0.19,2.26,0.0,3.4,0,0,430,73,5,50,0,302
2024,12,MQ,Envoy Air,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",69,15,2.1,0.25,2.61,0.0,10.04,0,0,770,121,17,111,0,521
2024,12,MQ,Envoy Air,MYR,"Myrtle Beach, SC: Myrtle Beach International",15,1,0.0,0.1,0.43,0.0,0.47,1,0,51,0,5,22,0,24
2024,12,MQ,Envoy Air,OKC,"Oklahoma City, OK: Will Rogers World",131,15,3.78,1.67,4.17,0.0,5.37,4,0,790,198,116,191,0,285
2024,12,MQ,Envoy Air,OMA,"Omaha, NE: Eppley Airfield",56,12,2.45,2.09,4.83,0.0,2.62,0,0,633,124,59,143,0,307
2024,12,MQ,Envoy Air,ONT,"Ontario, CA: Ontario International",34,4,1.03,0.0,1.2,0.05,1.73,0,0,152,44,0,30,1,77
2024,12,MQ,Envoy Air,ORD,"Chicago, IL: Chicago O'Hare International",2518,594,151.23,23.28,219.16,2.18,198.15,10,2,44858,15272,3736,8155,76,17619
2024,12,MQ,Envoy Air,ORF,"Norfolk, VA: Norfolk International",32,4,0.92,0.0,0.94,0.0,2.15,0,0,242,78,0,58,0,106
2024,12,MQ,Envoy Air,PDX,"Portland, OR: Portland International",10,2,0.03,0.0,1.92,0.0,0.06,0,0,60,1,0,57,0,2
2024,12,MQ,Envoy Air,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",965,111,29.27,9.63,21.87,0.99,49.24,3,0,10064,1718,2385,711,73,5177
2024,12,MQ,Envoy Air,PIA,"Peoria, IL: General Downing - Peoria International",73,16,2.58,2.99,3.28,0.0,7.14,0,0,1442,205,403,154,0,680
2024,12,MQ,Envoy Air,PIT,"Pittsburgh, PA: Pittsburgh International",69,12,5.24,0.33,4.82,0.0,1.6,0,0,419,211,8,132,0,68
2024,12,MQ,Envoy Air,PNS,"Pensacola, FL: Pensacola International",137,20,3.38,2.71,7.18,0.0,6.74,0,1,865,131,177,286,0,271
2024,12,MQ,Envoy Air,PVD,"Providence, RI: Rhode Island Tf Green International",19,4,1.0,1.55,1.45,0.0,0.0,0,0,162,18,85,59,0,0
2024,12,MQ,Envoy Air,RAP,"Rapid City, SD: Rapid City Regional",91,17,3.8,1.09,3.87,0.0,8.23,0,1,1479,140,99,186,0,1054
2024,12,MQ,Envoy Air,RDM,"Bend/Redmond, OR: Roberts Field",58,11,3.42,3.0,3.7,0.0,0.88,0,3,2093,76,1893,87,0,37
2024,12,MQ,Envoy Air,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",83,10,1.83,0.48,2.17,0.0,5.52,1,0,817,270,42,52,0,453
2024,12,MQ,Envoy Air,RIC,"Richmond, VA: Richmond International",15,6,0.49,0.2,2.26,0.0,3.04,0,0,144,13,4,61,0,66
2024,12,MQ,Envoy Air,RNO,"Reno, NV: Reno/Tahoe International",1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2024,12,MQ,Envoy Air,ROC,"Rochester, NY: Frederick Douglass Grtr Rochester International",91,22,3.89,1.91,6.58,0.0,9.62,0,0,916,199,69,226,0,422
2024,12,MQ,Envoy Air,SAT,"San Antonio, TX: San Antonio International",32,11,4.7,0.1,1.07,0.0,5.13,1,0,591,248,11,47,0,285
2024,12,MQ,Envoy Air,SAV,"Savannah, GA: Savannah/Hilton Head International",132,23,8.64,1.0,3.86,1.0,8.5,1,3,1037,493,78,118,32,316
2024,12,MQ,Envoy Air,SBA,"Santa Barbara, CA: Santa Barbara Municipal",71,9,1.41,0.0,4.19,0.42,2.98,2,1,329,66,0,119,32,112
2024,12,MQ,Envoy Air,SBP,"San Luis Obispo, CA: San Luis County Regional",39,9,0.88,1.0,1.16,0.0,5.96,0,1,268,32,22,31,0,183
2024,12,MQ,Envoy Air,SDF,"Louisville, KY: Louisville Muhammad Ali International",89,19,4.83,1.81,3.87,0.0,8.5,0,0,1248,196,101,140,0,811
2024,12,MQ,Envoy Air,SGF,"Springfield, MO: Springfield-Branson National",337,67,18.68,3.8,13.3,0.4,30.83,3,2,4454,777,492,614,26,2545
2024,12,MQ,Envoy Air,SHV,"Shreveport, LA: Shreveport Regional",56,15,2.0,3.11,0.76,0.0,9.12,3,0,1794,78,878,76,0,762
2024,12,MQ,Envoy Air,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",35,6,1.86,0.0,1.35,0.1,2.69,0,0,254,50,0,41,2,161
2024,12,MQ,Envoy Air,SLC,"Salt Lake City, UT: Salt Lake City International",47,6,0.94,1.04,1.38,0.0,2.64,0,0,303,35,17,67,0,184
2024,12,MQ,Envoy Air,SMF,"Sacramento, CA: Sacramento International",35,2,1.22,0.0,0.78,0.0,0.0,0,0,85,58,0,27,0,0
2024,12,MQ,Envoy Air,SPS,"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",61,14,2.77,0.97,5.23,0.0,5.03,0,0,956,65,51,98,0,742
2024,12,MQ,Envoy Air,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",13,3,0.43,0.11,0.54,0.0,1.92,0,1,156,13,8,30,0,105
2024,12,MQ,Envoy Air,STL,"St. Louis, MO: St Louis Lambert International",90,16,5.0,0.88,5.96,0.0,4.17,1,0,879,320,22,190,0,347
2024,12,MQ,Envoy Air,STS,"Santa Rosa, CA: Charles M. Schulz - Sonoma County",47,7,0.52,0.0,4.52,0.0,1.96,0,1,229,28,0,132,0,69
2024,12,MQ,Envoy Air,SYR,"Syracuse, NY: Syracuse Hancock International",79,15,1.48,1.3,8.25,0.0,3.97,0,0,903,136,57,354,0,356
2024,12,MQ,Envoy Air,TLH,"Tallahassee, FL: Tallahassee International",173,31,9.53,1.42,8.28,0.0,11.77,1,0,1459,327,172,316,0,644
2024,12,MQ,Envoy Air,TPA,"Tampa, FL: Tampa International",131,28,6.96,0.6,8.13,0.0,12.31,0,2,1978,1213,29,238,0,498
2024,12,MQ,Envoy Air,TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities",14,2,0.33,0.0,0.1,0.0,1.57,0,0,37,7,0,2,0,28
2024,12,MQ,Envoy Air,TUL,"Tulsa, OK: Tulsa International",97,13,7.07,0.26,3.0,0.0,2.67,2,0,657,343,31,109,0,174
2024,12,MQ,Envoy Air,TUS,"Tucson, AZ: Tucson International",35,3,1.08,0.0,0.0,0.0,1.92,0,0,259,112,0,0,0,147
